選舉區,姓名,性別,出生年月日,推薦之政黨,抽籤號次,公職類別
臺北市信義區黎安里,張智凱,男,065/05/10,無,2,村里長
臺北市大安區德安里,蔡銘宗,男,039/06/10,中國國民黨,1,村里長
臺北市大安區仁慈里,楊俊彥,男,071/04/13,無,1,村里長
臺北市大安區仁慈里,陳麒中,男,057/11/28,中國國民黨,2,村里長
臺北市大安區和安里,翁德東,男,047/10/11,無,1,村里長
臺北市大安區民炤里,周暉泰,男,067/04/21,中國國民黨,1,村里長
臺北市大安區民炤里,陳勤功,男,046/06/04,無,2,村里長
臺北市大安區仁愛里,楊禧瑜,女,059/01/17,無,1,村里長
臺北市大安區仁愛里,林宜蓁,女,053/01/31,中國國民黨,2,村里長
臺北市大安區仁愛里,吳蕙君,女,047/09/29,無,3,村里長
臺北市大安區仁愛里,朱東文,男,045/09/05,無,4,村里長
臺北市大安區義村里,潘明勲,男,041/01/07,中國國民黨,1,村里長
臺北市大安區義村里,陳雅娟,女,052/10/17,無,2,村里長
臺北市大安區義村里,席蕊婷,女,081/04/15,無,3,村里長
臺北市大安區民輝里,陳威禎,男,053/08/24,無,1,村里長
臺北市大安區民輝里,陳桓浩,男,036/04/05,無,2,村里長
臺北市大安區昌隆里,王志剛,男,055/09/05,中國國民黨,1,村里長
臺北市大安區誠安里,李有福,男,046/10/25,無,1,村里長
臺北市大安區光武里,韓修和,男,065/07/26,無,1,村里長
臺北市大安區龍坡里,黃世詮,男,057/04/17,中國國民黨,1,村里長
臺北市大安區龍泉里,龎維良,男,063/12/25,無,1,村里長
臺北市大安區古風里,彭仁鈺,男,054/03/22,無,1,村里長
臺北市大安區古風里,孔憲娟,女,050/01/20,中國國民黨,2,村里長
臺北市大安區古莊里,劉泓麟,男,059/12/31,中國國民黨,1,村里長
臺北市大安區古莊里,吳宗雄,男,051/03/01,無,2,村里長
臺北市大安區龍安里,洪秋甲,男,045/09/22,中國國民黨,1,村里長
臺北市大安區錦安里,龔志慧,女,044/05/05,中國國民黨,1,村里長
臺北市大安區錦安里,黃志焜,男,053/09/01,無,2,村里長
臺北市大安區福住里,李欣芠,女,043/10/10,無,1,村里長
臺北市大安區永康里,劉大薇,女,067/08/09,無,1,村里長
臺北市大安區永康里,徐玉雄,男,057/02/18,無,2,村里長
臺北市大安區永康里,顏意珍,男,067/06/07,無,3,村里長
臺北市大安區永康里,李明螢,女,049/10/10,中國國民黨,4,村里長
臺北市大安區光明里,張美霞,女,051/08/03,無,1,村里長
臺北市大安區光明里,張惠銓,男,035/11/29,中國國民黨,2,村里長
臺北市大安區錦泰里,范燕淇,男,039/10/06,無,1,村里長
臺北市大安區錦泰里,蔡燕卿,女,051/07/08,中國國民黨,2,村里長
臺北市大安區錦華里,温源衡,男,027/11/02,無,1,村里長
臺北市大安區錦華里,溫美珠,女,052/05/02,無,2,村里長
臺北市大安區龍圖里,許順煌,男,057/10/09,無,1,村里長
臺北市大安區龍圖里,邱瑞文,男,066/08/20,無,2,村里長
臺北市大安區龍圖里,蕭萬居,男,047/03/09,中國國民黨,3,村里長
臺北市大安區新龍里,李淑梅,女,049/02/25,中國國民黨,1,村里長
臺北市大安區新龍里,盧復國,男,045/10/02,無,2,村里長
臺北市大安區龍陣里,簡呈安,女,065/07/25,中國國民黨,1,村里長
臺北市大安區龍陣里,游菊英,女,046/11/20,無,2,村里長
臺北市大安區龍陣里,曾珮綺,女,060/12/17,無,3,村里長
臺北市大安區龍雲里,黃廣明,男,040/08/01,中國國民黨,1,村里長
臺北市大安區龍雲里,許中令,男,051/05/14,無,2,村里長
臺北市大安區龍雲里,范瑞珠,女,050/01/29,無,3,村里長
臺北市大安區龍生里,沈鳳雲,男,042/01/30,中國國民黨,1,村里長
臺北市大安區住安里,歐秀珠,女,050/05/18,中國國民黨,1,村里長
臺北市大安區義安里,劉威志,男,066/06/02,中國國民黨,1,村里長
臺北市大安區義安里,彭麗美,女,040/11/11,無,2,村里長
臺北市大安區通化里,黃春風,男,050/09/04,無,1,村里長
臺北市大安區通化里,周進財,男,051/10/25,中國國民黨,2,村里長
臺北市大安區通安里,邢紀藩,男,054/10/17,無,1,村里長
臺北市大安區通安里,鄭文明,男,049/04/28,中國國民黨,2,村里長
臺北市大安區通安里,鄭水波,男,049/07/30,無,3,村里長
臺北市大安區臨江里,劉勇雄,男,057/11/17,無,1,村里長
臺北市大安區法治里,林佩燕,女,055/02/07,中國國民黨,1,村里長
臺北市大安區法治里,黃博洋,男,048/06/14,無,2,村里長
臺北市大安區全安里,連馬世驍,男,051/12/24,無,1,村里長
臺北市大安區全安里,林麗珠,女,040/07/12,中國國民黨,2,村里長
臺北市大安區群賢里,翁鴻源,男,050/11/03,無,1,村里長
臺北市大安區群英里,石忠勝,男,042/10/18,中國國民黨,1,村里長
臺北市大安區虎嘯里,詹仲琪,男,051/12/03,中國國民黨,1,村里長
臺北市大安區臥龍里,邱奕承,男,079/09/03,無,1,村里長
臺北市大安區龍淵里,汪吉秋,男,042/08/24,中國國民黨,1,村里長
臺北市大安區龍門里,黃絹家,女,052/11/16,中國國民黨,1,村里長
臺北市大安區大學里,吳沛璇,女,053/07/20,中國國民黨,1,村里長
臺北市大安區大學里,何承翰,男,072/12/01,無,2,村里長
臺北市大安區芳和里,陳明達,男,045/01/17,無,1,村里長
臺北市大安區芳和里,黃正浪,男,052/03/05,中國國民黨,2,村里長
臺北市大安區黎元里,柯邱素鑾,女,040/08/26,中國國民黨,1,村里長
臺北市大安區黎元里,楊志賢,男,046/10/14,無,2,村里長
臺北市大安區黎元里,蘇偉彬,男,044/05/10,無,3,村里長
臺北市大安區黎孝里,方丁輝,男,057/06/28,中國國民黨,1,村里長
臺北市大安區黎和里,李啟宏,男,066/09/28,中國國民黨,1,村里長
臺北市大安區黎和里,陳水河,男,056/07/02,無,2,村里長
臺北市大安區建安里,溫志維,男,071/01/26,中國國民黨,1,村里長
臺北市大安區建安里,馮國珍,男,050/07/14,無,2,村里長
臺北市大安區建倫里,林正達,男,066/08/13,中國國民黨,1,村里長
臺北市大安區敦安里,王復,男,050/07/14,無,1,村里長
臺北市大安區敦安里,王瑞泰,男,043/08/30,無,2,村里長
臺北市大安區正聲里,陳秀蘭,女,037/12/25,中國國民黨,1,村里長
臺北市大安區正聲里,江秀華,女,049/04/06,無,2,村里長
臺北市大安區敦煌里,施錦泉,男,048/03/08,無,1,村里長
臺北市大安區敦煌里,傅吉田,男,048/03/15,中國國民黨,2,村里長
臺北市大安區華聲里,陳金花,女,044/09/22,無,1,村里長
臺北市大安區車層里,施桂英,女,043/02/02,無,1,村里長
臺北市大安區車層里,戴量,男,053/02/11,無,2,村里長
臺北市大安區車層里,李易儒,男,068/08/18,中國國民黨,3,村里長
臺北市大安區光信里,楊珮菱,女,037/10/18,無,1,村里長
臺北市大安區光信里,朱惟義,男,048/05/23,無,2,村里長
臺北市大安區光信里,許中裕,男,066/02/10,無,3,村里長
臺北市大安區光信里,游季穎,女,062/10/17,中國國民黨,4,村里長
臺北市大安區學府里,李淳琳,女,041/01/27,中國國民黨,1,村里長
臺北市大安區學府里,林慧瑜,女,053/03/25,無,2,村里長
臺北市中山區正守里,陳育群,男,054/07/14,無,1,村里長
臺北市中山區正守里,范秀卿,女,049/09/05,無,2,村里長
臺北市中山區正義里,黃永進,男,045/12/28,青年陽光黨,1,村里長
臺北市中山區正義里,李志勇,男,058/11/20,中國國民黨,2,村里長
臺北市中山區正義里,王明明,男,044/01/28,民主進步黨,3,村里長
臺北市中山區正得里,吳美瑩,女,062/03/27,無,1,村里長
臺北市中山區正得里,吳蘇秀霞,女,035/10/16,無,2,村里長
臺北市中山區正得里,王美玉,女,048/05/22,無,3,村里長
臺北市中山區民安里,陳皆樺,男,088/05/11,中華民族致公黨,1,村里長
臺北市中山區民安里,王俊堯,男,072/12/20,無,2,村里長
臺北市中山區民安里,羅孝英,女,051/01/30,無,3,村里長
臺北市中山區康樂里,王金富,男,037/03/15,無,1,村里長
臺北市中山區中山里,林松賓,男,039/01/08,無,1,村里長
臺北市中山區中山里,曾瓊梅,女,055/01/26,無,2,村里長
臺北市中山區聚盛里,舒贑臺,男,043/06/21,中國國民黨,1,村里長
臺北市中山區集英里,劉尚恩,男,066/05/18,中國國民黨,1,村里長
臺北市中山區集英里,賴政庸,男,045/01/03,民主進步黨,2,村里長
臺北市中山區聚葉里,趙李英記,男,047/02/08,無,1,村里長
臺北市中山區聚葉里,游啟業,男,053/03/02,無,2,村里長
臺北市中山區恆安里,黃志昌,男,062/04/11,無,1,村里長
臺北市中山區恆安里,朱明濱,男,047/11/16,無,2,村里長
臺北市中山區晴光里,張芊卉,女,079/07/23,無,1,村里長
臺北市中山區晴光里,林姿吟,女,070/09/18,無,2,村里長
臺北市中山區圓山里,葉建輝,男,055/01/14,中國國民黨,1,村里長
臺北市中山區劍潭里,王迎珠,女,043/12/19,中國國民黨,1,村里長
臺北市中山區劍潭里,鄭秋明,男,054/01/11,無,2,村里長
臺北市中山區劍潭里,王廣漢,男,049/09/11,無,3,村里長
臺北市中山區劍潭里,黃開芳,女,052/03/27,無,4,村里長
臺北市中山區大直里,蔡俊賢,男,046/04/29,無,1,村里長
臺北市中山區大直里,曹邦全,男,065/04/11,無,2,村里長
臺北市中山區成功里,李清水,男,040/05/25,中國國民黨,1,村里長
臺北市中山區永安里,唐楷瀚,男,078/11/19,無,1,村里長
臺北市中山區永安里,郭怡廷,女,045/05/06,無,2,村里長
臺北市中山區永安里,劉春長,男,036/10/16,無,3,村里長
臺北市中山區大佳里,莊欽億,男,054/02/19,民主進步黨,1,村里長
臺北市中山區新喜里,吳昇陽,男,050/07/12,民主進步黨,1,村里長
臺北市中山區新庄里,鄧麗珠,女,050/01/22,無,1,村里長
臺北市中山區新庄里,詹坤鑑,男,043/01/20,無,2,村里長
臺北市中山區新福里,童勝輝,男,051/12/11,無,1,村里長
臺北市中山區松江里,林泰宏,男,048/10/03,無,1,村里長
臺北市中山區松江里,蔣築諠,女,054/05/16,中國國民黨,2,村里長
臺北市中山區新生里,郭卜瑞,女,043/10/26,無,1,村里長
臺北市中山區新生里,曾國益,男,056/10/15,中國國民黨,2,村里長
臺北市中山區中庄里,陳建中,男,062/01/28,民主進步黨,1,村里長
臺北市中山區中庄里,陳子宇,男,067/05/25,無,2,村里長
臺北市中山區行政里,李福順,男,055/12/23,民主進步黨,1,村里長
臺北市中山區行政里,鄭春華,男,040/07/25,中國國民黨,2,村里長
臺北市中山區行仁里,李珮琬,女,055/05/15,中國國民黨,1,村里長
臺北市中山區行仁里,陳德賢,男,051/02/10,無,2,村里長
臺北市中山區行孝里,張哲瑋,男,068/05/06,無,1,村里長
臺北市中山區行孝里,呂勗淇,男,054/09/01,民主進步黨,2,村里長
臺北市中山區行孝里,梁永辰,女,048/04/16,無,3,村里長
臺北市中山區下埤里,林泓佐,男,046/06/03,民主進步黨,1,村里長
臺北市中山區下埤里,施士凱,男,058/07/24,中國國民黨,2,村里長
臺北市中山區江寧里,徐信洲,男,051/08/02,無,1,村里長
臺北市中山區江山里,劉陽劍,男,043/10/01,中國國民黨,1,村里長
臺北市中山區江山里,高海傑,男,068/10/05,民主進步黨,2,村里長
臺北市中山區中吉里,林德勝,男,046/08/18,民主進步黨,1,村里長
臺北市中山區中吉里,羅素蘭,女,038/04/20,無,2,村里長
臺北市中山區中吉里,楊勝智,男,062/10/24,無,3,村里長
臺北市中山區中原里,羅崇華,女,047/11/19,無,1,村里長
臺北市中山區興亞里,林芳薇,女,043/11/10,中國國民黨,1,村里長
臺北市中山區中央里,李陳金綉,女,043/04/02,中國國民黨,1,村里長
臺北市中山區中央里,高斯洋,男,072/05/28,民主進步黨,2,村里長
臺北市中山區中央里,蔡治永,男,072/02/21,無,3,村里長
臺北市中山區朱馥里,莊錦龍,男,039/05/27,無,1,村里長
臺北市中山區朱馥里,卓志勇,男,065/01/31,中國國民黨,2,村里長
臺北市中山區龍洲里,陳世明,男,035/11/02,中國國民黨,1,村里長
臺北市中山區龍洲里,張新郎,男,045/05/28,無,2,村里長
臺北市中山區朱園里,李林耀,男,044/08/17,無,1,村里長
