選舉區,姓名,性別,出生年月日,推薦之政黨,抽籤號次,公職類別
嘉義縣布袋鎮東安里,陳兩傳,男,039/01/07,無,1,村里長
嘉義縣布袋鎮中安里,李鴻銘,男,050/06/15,無,1,村里長
嘉義縣布袋鎮中安里,李吉雄,男,054/06/24,無,2,村里長
嘉義縣布袋鎮樹林里,莊仁義,男,049/09/01,無,1,村里長
嘉義縣布袋鎮樹林里,王翠雯,女,045/07/22,無,2,村里長
嘉義縣布袋鎮貴舍里,張豐欣,男,050/01/04,無,1,村里長
嘉義縣布袋鎮貴舍里,張文香,男,043/02/20,無,2,村里長
嘉義縣大林鎮東林里,陳建安,男,055/01/02,無,1,村里長
嘉義縣大林鎮西林里,龔志國,男,040/06/26,無,1,村里長
嘉義縣大林鎮西林里,劉建男,男,056/07/01,無,2,村里長
嘉義縣大林鎮西林里,黃金潭,男,058/05/28,無,3,村里長
嘉義縣大林鎮吉林里,孫美鳳,女,043/10/11,無,1,村里長
嘉義縣大林鎮平林里,鄭紹宗,男,037/11/21,無,1,村里長
嘉義縣大林鎮平林里,葉秀齡,女,050/02/19,無,2,村里長
嘉義縣大林鎮平林里,邱佐峯,男,064/08/18,無,3,村里長
嘉義縣大林鎮平林里,孫光璽,男,065/08/27,無,4,村里長
嘉義縣大林鎮明華里,江志堅,男,066/01/04,無,1,村里長
嘉義縣大林鎮明華里,劉燕山,男,046/04/10,無,2,村里長
嘉義縣大林鎮明華里,江文進,男,043/03/12,無,3,村里長
嘉義縣大林鎮明和里,李清課,男,039/09/25,無,1,村里長
嘉義縣大林鎮排路里,呂新章,男,037/06/15,無,1,村里長
嘉義縣大林鎮西結里,蔡宜靜,女,044/01/18,無,1,村里長
嘉義縣大林鎮西結里,陳建昌,男,051/07/24,無,2,村里長
嘉義縣大林鎮湖北里,林昭松,男,044/01/26,無,1,村里長
嘉義縣大林鎮湖北里,呂江明,男,033/11/11,無,2,村里長
嘉義縣大林鎮大糖里,蕭淑芬,女,054/07/05,無,1,村里長
嘉義縣大林鎮大美里,簡銓佑,男,082/12/05,無,1,村里長
嘉義縣大林鎮大美里,蔡伯利,男,064/08/01,無,2,村里長
嘉義縣大林鎮大美里,賴啓芳,男,058/03/16,無,3,村里長
嘉義縣大林鎮過溪里,簡明煌,男,049/08/25,無,1,村里長
嘉義縣大林鎮過溪里,簡溪河,男,046/04/24,無,2,村里長
嘉義縣大林鎮中坑里,林勝平,男,047/07/30,無,1,村里長
嘉義縣大林鎮中坑里,劉境鎮,男,057/02/28,無,2,村里長
嘉義縣大林鎮中坑里,簡富賢,男,048/01/16,無,3,村里長
嘉義縣大林鎮中坑里,劉清源,男,040/05/20,無,4,村里長
嘉義縣大林鎮中坑里,蔡坤利,男,070/06/22,無,5,村里長
嘉義縣大林鎮上林里,吳雪君,女,077/01/20,無,1,村里長
嘉義縣大林鎮上林里,陳煦湘,男,045/11/08,無,2,村里長
嘉義縣大林鎮中林里,林勝立,男,060/10/13,無,1,村里長
嘉義縣大林鎮中林里,吳政億,男,068/02/05,無,2,村里長
嘉義縣大林鎮中林里,蔡進樂,男,047/09/01,無,3,村里長
嘉義縣大林鎮三和里,陳慶璋,男,041/09/01,無,1,村里長
嘉義縣大林鎮三和里,簡春山,男,052/02/10,無,2,村里長
嘉義縣大林鎮溝背里,江春源,男,048/06/01,無,1,村里長
嘉義縣大林鎮義和里,江麗貞,女,046/11/08,無,1,村里長
嘉義縣大林鎮義和里,張啓君,男,047/07/01,無,2,村里長
嘉義縣大林鎮內林里,簡忠義,男,051/02/09,無,1,村里長
嘉義縣大林鎮內林里,簡和仁,男,041/09/10,無,2,村里長
嘉義縣大林鎮三角里,黃振南,男,037/05/26,無,1,村里長
嘉義縣大林鎮三角里,賴忠義,男,047/08/20,無,2,村里長
嘉義縣大林鎮三村里,蘇華佑,男,053/09/18,無,1,村里長
嘉義縣民雄鄉東榮村,張金富,男,049/01/04,無,1,村里長
嘉義縣民雄鄉中樂村,洪士翔,男,071/04/18,無,1,村里長
嘉義縣民雄鄉中樂村,劉秉軍,男,077/07/06,無,2,村里長
嘉義縣民雄鄉中樂村,洪源漳,男,055/07/12,無,3,村里長
嘉義縣民雄鄉西安村,江源發,男,056/12/16,無,1,村里長
嘉義縣民雄鄉寮頂村,朱雪梅,女,050/12/20,無,1,村里長
嘉義縣民雄鄉寮頂村,黃玉蓮,女,052/06/28,無,2,村里長
嘉義縣民雄鄉福權村,賴建利,男,051/07/05,無,1,村里長
嘉義縣民雄鄉福權村,方漢明,男,048/02/13,無,2,村里長
嘉義縣民雄鄉東湖村,林賢杉,男,045/12/06,無,1,村里長
嘉義縣民雄鄉東湖村,呂春木,男,057/02/18,無,2,村里長
嘉義縣民雄鄉頂崙村,劉育良,男,067/03/17,無,1,村里長
嘉義縣民雄鄉頂崙村,曹莉卿,女,044/10/24,無,2,村里長
嘉義縣民雄鄉菁埔村,蔡榮錦,男,048/09/25,無,1,村里長
嘉義縣民雄鄉菁埔村,何清鑫,男,045/02/01,無,2,村里長
嘉義縣民雄鄉中和村,何石生,男,045/03/02,無,1,村里長
嘉義縣民雄鄉平和村,許水松,男,045/10/19,無,1,村里長
嘉義縣民雄鄉西昌村,張家福,男,080/06/04,無,1,村里長
嘉義縣民雄鄉豊收村,陳正溪,男,047/05/20,無,1,村里長
嘉義縣民雄鄉三興村,王世仁,男,048/08/10,無,1,村里長
嘉義縣民雄鄉三興村,莊柏桐,男,045/06/08,無,2,村里長
嘉義縣民雄鄉東興村,翁有義,男,062/03/29,無,1,村里長
嘉義縣民雄鄉東興村,張政僑,男,058/09/17,無,2,村里長
嘉義縣民雄鄉鎮北村,張坤池,男,059/09/25,無,1,村里長
嘉義縣民雄鄉鎮北村,張英梓,男,054/11/01,無,2,村里長
嘉義縣民雄鄉鎮北村,劉春養,男,048/08/04,無,3,村里長
嘉義縣民雄鄉興中村,姚鋒鍾,男,050/01/28,無,1,村里長
嘉義縣民雄鄉興中村,賴亨忠,男,041/01/26,無,2,村里長
嘉義縣民雄鄉興中村,陳駿祥,男,041/11/26,無,3,村里長
嘉義縣民雄鄉興南村,金宏癸,男,053/07/27,無,1,村里長
嘉義縣民雄鄉興南村,黃富廷,男,072/03/23,無,2,村里長
嘉義縣民雄鄉福興村,林邦銘,男,052/07/27,無,1,村里長
嘉義縣民雄鄉福興村,張永錚,男,048/08/08,無,2,村里長
嘉義縣民雄鄉福興村,楊邦富,男,052/04/27,無,3,村里長
嘉義縣民雄鄉文隆村,何添富,男,040/06/20,無,1,村里長
嘉義縣民雄鄉文隆村,黃琮壹,男,056/08/15,無,2,村里長
嘉義縣民雄鄉山中村,鄭永欽,男,049/01/16,無,1,村里長
嘉義縣民雄鄉中央村,劉文明,男,047/12/10,無,1,村里長
嘉義縣民雄鄉北斗村,謝志宏,男,066/01/28,無,1,村里長
嘉義縣民雄鄉北斗村,何進財,男,051/04/05,無,2,村里長
嘉義縣民雄鄉双福村,黃福元,男,060/10/10,無,1,村里長
嘉義縣民雄鄉双福村,蔡妙雪,女,055/10/10,無,2,村里長
嘉義縣民雄鄉大崎村,賴憲隆,男,047/10/13,無,1,村里長
嘉義縣民雄鄉大崎村,陳谷全,男,046/10/05,無,2,村里長
嘉義縣民雄鄉秀林村,吳彩琴,女,062/01/17,無,1,村里長
嘉義縣民雄鄉秀林村,林平峯,男,051/11/20,無,2,村里長
嘉義縣民雄鄉松山村,楊良治,男,030/07/20,無,1,村里長
嘉義縣民雄鄉松山村,周炳立,男,051/10/11,無,2,村里長
嘉義縣民雄鄉金興村,何建明,男,045/04/21,無,1,村里長
嘉義縣民雄鄉福樂村,陳榮,男,047/11/24,中國國民黨,1,村里長
嘉義縣民雄鄉福樂村,王秋雯,女,068/04/10,無,2,村里長
嘉義縣民雄鄉福樂村,簡元煌,男,038/12/16,無,3,村里長
嘉義縣溪口鄉溪東村,謝陸成,男,039/10/01,無,1,村里長
嘉義縣溪口鄉溪西村,陳獻仁,男,062/06/18,無,1,村里長
嘉義縣溪口鄉溪西村,陳錦寅,男,040/08/08,無,2,村里長
嘉義縣溪口鄉溪北村,劉友宏,男,058/02/01,無,1,村里長
嘉義縣溪口鄉溪北村,張躍達,男,056/07/08,無,2,村里長
嘉義縣溪口鄉游東村,邱茂森,男,053/06/22,無,1,村里長
嘉義縣溪口鄉游西村,孫文章,男,043/04/20,無,1,村里長
嘉義縣溪口鄉柴林村,王日生,男,042/07/02,無,1,村里長
嘉義縣溪口鄉柴林村,葉茂振,男,050/09/25,無,2,村里長
嘉義縣溪口鄉林腳村,許彩鳳,女,041/12/09,無,1,村里長
嘉義縣溪口鄉美南村,賴界龍,男,058/11/22,無,1,村里長
嘉義縣溪口鄉美南村,劉江海,男,039/10/24,無,2,村里長
嘉義縣溪口鄉美南村,陳文添,男,037/09/13,無,3,村里長
嘉義縣溪口鄉美北村,陳淑惠,女,054/01/07,無,1,村里長
嘉義縣溪口鄉本厝村,葉得祿,男,036/03/26,無,1,村里長
嘉義縣溪口鄉柳溝村,劉献章,男,041/08/20,無,1,村里長
嘉義縣溪口鄉柳溝村,王之憤,男,053/08/03,無,2,村里長
嘉義縣溪口鄉疊溪村,劉碧鳳,女,054/10/25,無,1,村里長
嘉義縣溪口鄉疊溪村,劉德福,男,052/07/10,無,2,村里長
嘉義縣溪口鄉疊溪村,劉慶維,男,037/08/24,無,3,村里長
嘉義縣溪口鄉妙崙村,黃仁宏,男,068/07/08,無,1,村里長
嘉義縣溪口鄉妙崙村,張文昇,男,053/02/05,無,2,村里長
嘉義縣溪口鄉妙崙村,張柔蘭,女,047/05/24,無,3,村里長
嘉義縣溪口鄉坪頂村,郭芳崑,男,041/03/12,無,1,村里長
嘉義縣溪口鄉坪頂村,鄭力升,男,054/12/22,無,2,村里長
嘉義縣新港鄉宮前村,林駿麟,男,068/08/21,無,1,村里長
嘉義縣新港鄉宮前村,邱聰益,男,051/12/30,無,2,村里長
嘉義縣新港鄉宮前村,侯焜煜,男,041/05/01,無,3,村里長
嘉義縣新港鄉宮後村,陳圳岸,男,025/11/21,無,1,村里長
嘉義縣新港鄉大興村,林益生,男,052/11/05,無,1,村里長
嘉義縣新港鄉福德村,郭正欽,男,045/10/16,無,1,村里長
嘉義縣新港鄉古民村,郭忠和,男,046/08/25,無,1,村里長
嘉義縣新港鄉古民村,林居宏,男,046/03/26,無,2,村里長
嘉義縣新港鄉中庄村,張秀安,男,046/02/10,無,1,村里長
嘉義縣新港鄉大潭村,吳耀夏,男,055/01/05,無,1,村里長
嘉義縣新港鄉大潭村,林陳麥,女,038/02/13,無,2,村里長
嘉義縣新港鄉大潭村,林壽山,男,043/11/30,無,3,村里長
嘉義縣新港鄉大潭村,張銘聲,男,040/01/03,無,4,村里長
嘉義縣新港鄉西庄村,梁勝萬,男,045/02/26,無,1,村里長
嘉義縣新港鄉西庄村,何崇璧,男,037/01/14,無,2,村里長
嘉義縣新港鄉埤子村,張世立,男,042/02/21,無,1,村里長
嘉義縣新港鄉南崙村,王張素女,女,043/10/26,無,1,村里長
嘉義縣新港鄉北崙村,蔡秀芳,女,054/12/13,無,1,村里長
嘉義縣新港鄉北崙村,陳素卿,女,047/03/02,無,2,村里長
嘉義縣新港鄉海瀛村,劉秀寬,女,051/09/20,無,1,村里長
嘉義縣新港鄉海瀛村,郭祐旭,男,048/03/09,無,2,村里長
嘉義縣新港鄉月眉村,林明泰,男,056/07/13,無,1,村里長
嘉義縣新港鄉月潭村,李冠樟,男,059/12/05,無,1,村里長
嘉義縣新港鄉溪北村,李明棟,男,055/08/28,無,1,村里長
嘉義縣新港鄉三間村,許永鋐,男,060/11/21,無,1,村里長
嘉義縣新港鄉三間村,蕭金修,男,056/04/27,無,2,村里長
嘉義縣新港鄉中洋村,江德欽,男,055/07/18,無,1,村里長
嘉義縣新港鄉菜公村,林黃秀玉,女,047/06/26,無,1,村里長
嘉義縣新港鄉安和村,陳利生,男,046/03/25,無,1,村里長
嘉義縣新港鄉安和村,莊昆龍,男,041/06/26,無,2,村里長
嘉義縣新港鄉安和村,吳崑崗,男,046/12/16,無,3,村里長
嘉義縣新港鄉潭大村,江錦澤,男,048/05/20,無,1,村里長
嘉義縣新港鄉潭大村,林榮魁,男,045/08/13,無,2,村里長
嘉義縣新港鄉南港村,陳建樺,男,056/10/31,無,1,村里長
嘉義縣新港鄉南港村,鄭錦煌,男,048/05/27,無,2,村里長
嘉義縣新港鄉南港村,劉裕仁,男,046/06/17,無,3,村里長
嘉義縣新港鄉南港村,鄭國城,男,052/07/16,無,4,村里長
嘉義縣新港鄉板頭村,杜徐灑,女,033/12/21,無,1,村里長
嘉義縣新港鄉共和村,蘇添益,男,047/06/12,無,1,村里長
嘉義縣新港鄉共和村,洪金成,男,037/05/25,無,2,村里長
嘉義縣六腳鄉蒜頭村,呂松助,男,051/07/06,無,1,村里長
嘉義縣六腳鄉蒜東村,賴淑眞,女,076/03/24,無,1,村里長
嘉義縣六腳鄉蒜東村,黃新宏,男,067/09/10,無,2,村里長
嘉義縣六腳鄉蒜東村,侯文通,男,050/01/04,無,3,村里長
嘉義縣六腳鄉蒜南村,黃俊旗,男,061/08/05,無,1,村里長
嘉義縣六腳鄉蒜南村,黃福,男,038/04/05,無,2,村里長
嘉義縣六腳鄉蒜南村,黃和,男,047/11/18,無,3,村里長
嘉義縣六腳鄉工廠村,黃江正,男,044/12/06,無,1,村里長
嘉義縣六腳鄉灣南村,趙素娟,女,048/01/17,無,1,村里長
嘉義縣六腳鄉灣北村,陳日炎,男,050/10/17,無,1,村里長
嘉義縣六腳鄉灣北村,陳振裕,男,056/06/02,無,2,村里長
嘉義縣六腳鄉塗師村,侯新發,男,061/04/30,無,1,村里長
嘉義縣六腳鄉三義村,蔡聰享,男,060/12/31,無,1,村里長
嘉義縣六腳鄉港美村,林哲祥,男,051/07/02,無,1,村里長
嘉義縣六腳鄉豐美村,黃在崎,男,050/09/26,無,1,村里長
嘉義縣六腳鄉豐美村,黃愛雅,女,070/02/22,無,2,村里長
嘉義縣六腳鄉六斗村,康珍,男,042/02/01,無,1,村里長
嘉義縣六腳鄉崙陽村,包素吟,女,047/09/07,無,1,村里長
嘉義縣六腳鄉崙陽村,蘇彬福,男,055/10/09,無,2,村里長
嘉義縣六腳鄉蘇厝村,蘇庭芳,男,047/07/23,無,1,村里長
嘉義縣六腳鄉竹本村,莊正光,男,052/04/20,無,1,村里長
嘉義縣六腳鄉竹本村,陳偉世,男,047/05/04,無,2,村里長
嘉義縣六腳鄉永賢村,楊淑惠,女,057/07/08,無,1,村里長
嘉義縣六腳鄉永賢村,陳永誠,男,060/05/01,無,2,村里長
嘉義縣六腳鄉魚寮村,莊明星,男,052/09/29,無,1,村里長
嘉義縣六腳鄉魚寮村,莊明溪,男,046/08/08,無,2,村里長
嘉義縣六腳鄉魚寮村,洪世原,男,065/05/10,無,3,村里長
嘉義縣六腳鄉魚寮村,楊永欽,男,054/04/17,無,4,村里長
嘉義縣六腳鄉魚寮村,許栓瑋,男,053/04/16,無,5,村里長
嘉義縣六腳鄉魚寮村,陳金照,男,049/03/10,無,6,村里長
嘉義縣六腳鄉潭墘村,侯水順,男,037/11/10,無,1,村里長
嘉義縣六腳鄉正義村,林麗珍,女,049/05/26,無,1,村里長
嘉義縣六腳鄉六腳村,陳餘慶,男,055/07/10,無,1,村里長
嘉義縣六腳鄉六腳村,呂有森,男,057/03/10,無,2,村里長
嘉義縣六腳鄉六南村,楊惠誌,男,059/02/16,無,1,村里長
嘉義縣六腳鄉六南村,楊清鎮,男,046/04/16,無,2,村里長
嘉義縣六腳鄉崩山村,周石松,男,042/12/06,無,1,村里長
嘉義縣六腳鄉崩山村,謝英彬,男,036/10/10,無,2,村里長
嘉義縣六腳鄉古林村,黃淑津,女,050/11/20,無,1,村里長
嘉義縣六腳鄉古林村,吳嘉旺,男,048/09/27,無,2,村里長
嘉義縣六腳鄉更寮村,蕭明正,男,040/07/01,無,1,村里長
嘉義縣東石鄉東石村,王玉枝,女,055/12/01,無,1,村里長
嘉義縣東石鄉東石村,黃錫雄,男,057/12/26,無,2,村里長
嘉義縣東石鄉猿樹村,黃聰吉,男,044/01/15,無,1,村里長
嘉義縣東石鄉猿樹村,吳俊德,男,063/06/27,無,2,村里長
嘉義縣東石鄉猿樹村,吳吉源,男,039/09/10,無,3,村里長
嘉義縣東石鄉型厝村,黃進忠,男,048/08/12,無,1,村里長
嘉義縣東石鄉塭港村,許錫林,男,041/06/26,無,1,村里長
嘉義縣東石鄉三家村,蕭振部,男,050/12/10,無,1,村里長
嘉義縣東石鄉永屯村,柯金水,男,044/04/12,無,1,村里長
嘉義縣東石鄉永屯村,陳智煌,男,059/09/20,無,2,村里長
嘉義縣東石鄉海埔村,鄭朝鴻,男,053/08/07,無,1,村里長
嘉義縣東石鄉海埔村,曾金能,男,035/11/10,無,2,村里長
嘉義縣東石鄉龍港村,吳振德,男,057/10/25,無,1,村里長
嘉義縣東石鄉副瀨村,林泰平,男,034/04/29,無,1,村里長
嘉義縣東石鄉下揖村,陳慶堂,男,060/12/20,無,1,村里長
嘉義縣東石鄉頂揖村,陳慶樂,男,063/07/10,無,1,村里長
嘉義縣東石鄉頂揖村,張麗霞,女,063/08/05,無,2,村里長
嘉義縣東石鄉溪下村,張居雙,男,056/06/24,無,1,村里長
嘉義縣東石鄉溪下村,張獻政,男,051/02/21,無,2,村里長
嘉義縣東石鄉港墘村,嚴玄明,男,055/09/20,無,1,村里長
嘉義縣東石鄉蔦松村,余福來,男,048/10/17,無,1,村里長
嘉義縣東石鄉蔦松村,余澄溪,男,044/11/04,無,2,村里長
嘉義縣東石鄉圍潭村,莊讚芬,男,046/01/07,無,1,村里長
嘉義縣東石鄉洲仔村,鄭清木,男,066/01/31,無,1,村里長
嘉義縣東石鄉東崙村,陳秀文,男,031/05/25,無,1,村里長
嘉義縣東石鄉東崙村,王木源,男,051/03/22,無,2,村里長
嘉義縣東石鄉西崙村,林正雄,男,056/05/07,無,1,村里長
嘉義縣東石鄉西崙村,唐啓泰,男,043/12/10,無,2,村里長
嘉義縣東石鄉塭仔村,鄭叁泰,男,051/05/28,無,1,村里長
嘉義縣東石鄉塭仔村,陳明川,男,036/04/01,無,2,村里長
嘉義縣東石鄉網寮村,戴慶堂,男,046/12/05,無,1,村里長
嘉義縣東石鄉網寮村,戴崇廸,男,053/07/13,無,2,村里長
嘉義縣東石鄉掌潭村,蕭榮馨,男,051/04/25,無,1,村里長
嘉義縣東石鄉掌潭村,蕭世禾,男,068/03/19,無,2,村里長
嘉義縣東石鄉港口村,丁振管,男,043/07/25,無,1,村里長
嘉義縣東石鄉鰲鼓村,李銘春,男,044/03/20,無,1,村里長
嘉義縣義竹鄉岸腳村,翁黃幸栢,女,042/08/23,無,1,村里長
嘉義縣義竹鄉岸腳村,卓榮宏,男,045/01/01,無,2,村里長
嘉義縣義竹鄉義竹村,翁山鳳,男,035/08/25,無,1,村里長
嘉義縣義竹鄉義竹村,翁偉德,男,074/09/02,無,2,村里長
嘉義縣義竹鄉六桂村,翁安升,男,045/11/05,無,1,村里長
嘉義縣義竹鄉六桂村,黃江山,男,047/12/10,無,2,村里長
嘉義縣義竹鄉六桂村,謝佩蓉,女,060/09/19,無,3,村里長
嘉義縣義竹鄉仁里村,翁文宏,男,050/03/30,中國國民黨,1,村里長
嘉義縣義竹鄉仁里村,翁榮鐘,男,055/12/05,無,2,村里長
嘉義縣義竹鄉傳芳村,翁璋賜,男,044/05/20,無,1,村里長
嘉義縣義竹鄉傳芳村,翁瑞芳,男,033/02/03,無,2,村里長
嘉義縣義竹鄉頭竹村,黃慶富,男,045/12/20,無,1,村里長
嘉義縣義竹鄉頭竹村,黃榮利,男,049/09/07,無,2,村里長
嘉義縣義竹鄉五厝村,顏恭誠,男,054/08/27,無,1,村里長
嘉義縣義竹鄉五厝村,顏福在,男,043/12/02,無,2,村里長
嘉義縣義竹鄉中平村,謝添丁,男,038/08/08,無,1,村里長
嘉義縣義竹鄉埤前村,蔡榮文,男,037/05/25,無,1,村里長
嘉義縣義竹鄉埤前村,蔡順源,男,058/11/28,無,2,村里長
嘉義縣義竹鄉平溪村,温哲男,男,052/12/31,無,1,村里長
嘉義縣義竹鄉平溪村,蔡明清,男,066/10/26,無,2,村里長
嘉義縣義竹鄉平溪村,蕭文上,男,048/05/05,無,3,村里長
嘉義縣義竹鄉後鎮村,張耿豪,男,054/03/12,無,1,村里長
嘉義縣義竹鄉北華村,蔡明賢,男,048/04/17,無,1,村里長
嘉義縣義竹鄉新店村,葉朝賢,男,038/10/10,無,1,村里長
嘉義縣義竹鄉新店村,丁千衾,女,075/11/04,無,2,村里長
嘉義縣義竹鄉東過村,李俊穆,男,040/08/06,無,1,村里長
嘉義縣義竹鄉東過村,康榮郎,男,045/01/10,無,2,村里長
嘉義縣義竹鄉西過村,曾旭村,男,060/11/06,無,1,村里長
嘉義縣義竹鄉西過村,蔡秋煌,男,059/01/20,無,2,村里長
嘉義縣義竹鄉官和村,王鐘啓,男,058/05/14,無,1,村里長
嘉義縣義竹鄉官順村,洪正賢,男,061/11/16,無,1,村里長
嘉義縣義竹鄉官順村,陳樹成,男,040/01/05,無,2,村里長
嘉義縣義竹鄉新富村,林福傳,男,050/02/10,無,1,村里長
嘉義縣義竹鄉新富村,楊金生,男,040/08/23,無,2,村里長
嘉義縣義竹鄉新富村,林大智,男,047/04/02,無,3,村里長
嘉義縣義竹鄉東光村,趙崇福,男,060/03/24,無,1,村里長
嘉義縣義竹鄉東光村,丁貫昇,男,045/02/08,無,2,村里長
嘉義縣義竹鄉東榮村,丁勝義,男,033/02/06,無,1,村里長
嘉義縣義竹鄉東榮村,陳光輝,男,064/01/09,無,2,村里長
嘉義縣義竹鄉龍蛟村,黃銘弘,男,066/10/10,無,1,村里長
嘉義縣義竹鄉龍蛟村,林慧美,女,045/06/18,無,2,村里長
嘉義縣義竹鄉溪洲村,王育柔,女,060/01/21,無,1,村里長
嘉義縣義竹鄉溪洲村,葉秋冬,男,037/12/01,無,2,村里長
嘉義縣義竹鄉溪洲村,鄭黃君誠,男,052/03/10,無,3,村里長
嘉義縣鹿草鄉後寮村,汪宗生,男,049/04/24,無,1,村里長
嘉義縣鹿草鄉後寮村,侯宜均,女,047/02/02,無,2,村里長
嘉義縣鹿草鄉鹿東村,廖良山,男,047/10/24,無,1,村里長
嘉義縣鹿草鄉鹿東村,陳重安,男,047/11/11,無,2,村里長
嘉義縣鹿草鄉鹿草村,陳世利,男,040/09/27,無,1,村里長
嘉義縣鹿草鄉鹿草村,陳輝陽,男,038/03/17,無,2,村里長
嘉義縣鹿草鄉鹿草村,陳天謀,男,053/12/02,無,3,村里長
嘉義縣鹿草鄉西井村,江岳樺,男,066/02/22,無,1,村里長
嘉義縣鹿草鄉西井村,黃德旺,男,047/09/18,無,2,村里長
嘉義縣鹿草鄉豊稠村,柯百倡,男,075/08/07,無,1,村里長
嘉義縣鹿草鄉豊稠村,鄭正旺,男,051/05/26,無,2,村里長
嘉義縣鹿草鄉重寮村,張戴隨,女,041/09/08,無,1,村里長
嘉義縣鹿草鄉重寮村,林基財,男,065/04/18,無,2,村里長
嘉義縣鹿草鄉施家村,施青宏,男,054/09/12,無,1,村里長
嘉義縣鹿草鄉下潭村,吳輝臨,男,045/01/20,無,1,村里長
嘉義縣鹿草鄉光潭村,郭豐銘,男,053/03/21,無,1,村里長
嘉義縣鹿草鄉碧潭村,林添旺,男,028/02/10,無,1,村里長
嘉義縣鹿草鄉松竹村,林明助,男,059/07/14,無,1,村里長
嘉義縣鹿草鄉竹山村,歐陽群宏,男,059/01/22,無,1,村里長
嘉義縣鹿草鄉竹山村,蔡鴻章,男,044/06/15,無,2,村里長
嘉義縣鹿草鄉後堀村,陳信同,男,047/02/24,無,1,村里長
嘉義縣鹿草鄉三角村,黃忠明,男,045/03/03,無,1,村里長
嘉義縣鹿草鄉三角村,黃家昌,男,044/01/10,無,2,村里長
嘉義縣鹿草鄉下麻村,施俊德,男,069/11/09,無,1,村里長
嘉義縣鹿草鄉下麻村,張世榮,男,052/11/10,無,2,村里長
嘉義縣鹿草鄉下麻村,蔡慶成,男,058/12/29,無,3,村里長
嘉義縣水上鄉水上村,蔡宗河,男,050/03/10,無,1,村里長
嘉義縣水上鄉水頭村,黃桂湄,女,049/08/13,無,1,村里長
嘉義縣水上鄉水頭村,黃周武,男,044/11/09,無,2,村里長
嘉義縣水上鄉水頭村,吳拱泰,男,045/01/02,無,3,村里長
嘉義縣水上鄉大堀村,黃存吉,男,050/03/03,無,1,村里長
嘉義縣水上鄉大堀村,凃文卿,男,056/09/01,無,2,村里長
嘉義縣水上鄉大崙村,沈建村,男,048/05/20,無,1,村里長
嘉義縣水上鄉大崙村,呂文煜,男,057/07/15,無,2,村里長
嘉義縣水上鄉塗溝村,呂銘珍,男,048/07/10,無,1,村里長
嘉義縣水上鄉粗溪村,曾龍興,男,049/06/22,無,1,村里長
嘉義縣水上鄉粗溪村,黃寶珍,男,041/05/03,無,2,村里長
嘉義縣水上鄉下寮村,陳忠海,男,051/02/18,無,1,村里長
嘉義縣水上鄉下寮村,陳順增,男,038/01/28,無,2,村里長
嘉義縣水上鄉三和村,鍾文一,男,047/05/03,無,1,村里長
嘉義縣水上鄉三和村,羅建華,男,076/06/08,無,2,村里長
嘉義縣水上鄉回歸村,李福來,男,044/11/12,無,1,村里長
嘉義縣水上鄉三鎮村,林志忠,男,046/07/01,中國國民黨,1,村里長
嘉義縣水上鄉靖和村,蘇慶光,男,048/10/10,無,1,村里長
嘉義縣水上鄉靖和村,周文賢,男,044/10/25,無,2,村里長
嘉義縣水上鄉南和村,羅錕毅,男,047/08/12,無,1,村里長
嘉義縣水上鄉南和村,賴俊嘉,男,067/04/18,無,2,村里長
嘉義縣水上鄉龍德村,林建呈,男,072/07/10,無,1,村里長
嘉義縣水上鄉溪洲村,吳武雄,男,058/12/28,無,1,村里長
嘉義縣水上鄉溪洲村,林基農,男,050/05/02,無,2,村里長
嘉義縣水上鄉柳林村,黃奇鋒,男,046/06/06,無,1,村里長
嘉義縣水上鄉柳林村,黃秋豪,男,057/10/01,無,2,村里長
嘉義縣水上鄉柳鄉村,黃義坤,男,039/12/08,無,1,村里長
嘉義縣水上鄉柳新村,王永元,男,041/02/03,無,1,村里長
嘉義縣水上鄉柳新村,陳皇如,男,055/07/27,無,2,村里長
嘉義縣水上鄉柳新村,黃煌杰,男,048/09/26,無,3,村里長
嘉義縣水上鄉寬士村,黃榮郎,男,047/01/02,無,1,村里長
嘉義縣水上鄉民生村,鍾桂葉,女,049/12/27,無,1,村里長
嘉義縣水上鄉民生村,吳彥騰,男,065/05/03,無,2,村里長
嘉義縣水上鄉忠和村,張順興,男,058/10/19,無,1,村里長
嘉義縣水上鄉中庄村,陳武秋,男,046/01/28,無,1,村里長
嘉義縣水上鄉中庄村,張新德,男,046/07/11,無,2,村里長
嘉義縣水上鄉南鄉村,吳幸蓮,女,056/12/30,無,1,村里長
嘉義縣水上鄉南鄉村,謝魏雪鳳,女,042/11/13,無,2,村里長
嘉義縣水上鄉三界村,陳重鏞,男,045/04/12,無,1,村里長
嘉義縣水上鄉國姓村,張惠絲,女,048/11/25,無,1,村里長
嘉義縣水上鄉國姓村,林信安,男,053/02/20,無,2,村里長
嘉義縣水上鄉內溪村,黃文正,男,049/07/16,無,1,村里長
嘉義縣水上鄉內溪村,黃炳輝,男,048/01/31,無,2,村里長
嘉義縣水上鄉義興村,王清涼,男,045/02/21,無,1,村里長
嘉義縣水上鄉義興村,陳美英,女,062/03/13,無,2,村里長
嘉義縣中埔鄉中埔村,游淑貞,女,047/04/20,無,1,村里長
嘉義縣中埔鄉塩舘村,陳火盛,男,058/09/04,無,1,村里長
